NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,0,0,0,0,0,0,1,1,1,1,8,8,0,3.58
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,2,5.49
1,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,8.11
1,0,1,0,0,1,0,1,0,1,0,1,1,22,160,0,9.2
1,1,0,0,0,0,0,0,1,0,0,1,0,48,8,1,12.86
0,1,0,0,0,0,0,1,0,1,0,1,0,44,8,1,14.6
0,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0,14.61
0,0,1,1,0,0,1,0,0,1,0,0,0,44,8,2,19.49
1,0,0,0,0,1,0,0,1,1,0,1,1,44,160,0,21.57
0,0,1,0,0,0,0,1,0,1,0,0,1,44,8,1,22.35
0,0,0,1,0,1,0,0,1,1,1,0,1,8,8,2,27.451460233355075
1,1,1,1,1,0,0,1,0,0,1,1,1,44,320,1,27.452289366164674
1,1,0,1,1,1,0,0,1,1,1,0,0,48,160,1,27.452564293930124
0,1,1,1,0,0,1,0,1,0,0,1,0,44,160,2,27.45260373614064
0,0,0,0,0,0,1,0,0,0,0,0,1,44,160,1,27.45272736270654
1,1,0,1,1,1,0,0,0,0,1,0,1,44,160,1,27.45332539961735
1,0,0,1,1,1,0,1,0,1,1,1,0,8,160,1,27.45509179223938
1,1,0,0,0,1,1,1,1,0,1,0,1,48,8,2,27.45509507621933
0,1,1,1,1,1,1,0,0,0,0,1,1,22,320,1,27.455235033929124
0,1,1,1,1,0,0,0,0,1,0,1,0,22,320,0,27.455239907558973
