auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,1,0,0,1,0,1,0,0,5.94
1,0,1,1,1,1,1,0,0,1,0,0,8.83
0,0,0,0,0,0,0,0,1,1,0,0,9.61
0,0,1,1,0,1,0,1,1,1,1,1,15.57
1,0,0,0,1,1,1,1,1,0,0,0,15.59
1,1,0,0,0,1,1,1,1,1,0,0,324.41
1,1,1,1,0,1,1,1,1,0,1,1,324.6
1,1,1,1,1,1,1,0,1,1,1,0,324.68
1,1,0,1,0,1,0,0,1,0,1,0,324.7
1,1,1,1,1,1,0,0,0,0,0,0,496.13
0,1,1,1,1,1,1,1,0,1,1,0,496.63
1,1,1,1,1,1,0,1,0,0,0,0,498.68
0,1,1,1,0,1,1,1,0,1,1,0,498.93
0,1,1,0,0,1,1,0,0,0,0,0,503.29
0,0,0,0,1,1,1,1,1,1,0,1,503.5614183401924
0,0,1,0,0,0,0,0,1,1,1,0,503.5615814502676
1,1,0,0,1,0,0,0,1,1,0,0,503.5619696476202
0,0,1,0,0,0,0,1,0,1,0,1,503.5627255937521
0,1,1,1,1,1,0,1,0,1,0,1,503.5632136344521
0,1,1,0,0,0,1,1,1,0,1,0,503.56326136268103
