iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,0.52
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,0.55
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,90,0.55
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,0.56
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,0.58
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,0.59
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,0.6
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,90,0.61
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,0.63
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,0.64
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,90,0.65
0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,10,0.67
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,10,0.68
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,90,0.69
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,10,0.69
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,10,0.7
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,10,0.72
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,0.72
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.76
1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,90,0.9410741293220287
