write,0,select,1,0.1,1.1,0.2,1.2,1.3,0.3,2,2674,27906,20834,36784,18392,24891,55070,35593,9450,8624,9,14473,1.4,36179,0.4,0.5,1.5,0.6,1.6,weight,selected
sendfile,0,poll,1,0,1,0,1,1,0,2,1408,18382,51470,34080,13063,26580,10300,35719,22108,60007,5,34534,1,14718,0,0,1,0,285,0.701543,0
writev,1,select,0,0,0,0,1,1,2,0,10583,4182,2709,56771,17783,63770,46270,21089,19133,17480,2,26163,1,40108,1,1,1,1,47,0.701543,0
sendfile,0,libev,0,0,0,1,1,1,1,2,20948,12061,5286,32364,21653,58290,20273,9979,24270,17480,2,26163,1,40108,1,1,1,1,47,1.901579,1
sendfile,0,libev,0,0,0,1,1,1,1,2,20948,12061,5286,32364,21653,58290,20273,9979,24270,17480,2,26163,1,40108,1,0,0,1,212,1.015211,0
writev,1,select,0,0,0,0,1,1,2,0,10583,4182,2709,36070,17783,63770,46270,21089,19133,20665,15,1438,1,18160,0,1,1,0,1473,0.701543,0
writev,1,select,0,0,0,0,1,1,2,0,10583,4182,2709,36070,17783,63770,46270,21089,19133,20665,15,1438,1,18160,0,1,1,0,552,0.701543,0
writev,1,select,0,1,0,0,1,0,2,2,33750,5119,10614,13967,6983,56866,54667,23499,10979,20816,4,25643,1,27107,1,1,0,0,2421,0.701543,0
write,0,select,0,0,1,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,60007,5,52325,1,14718,0,1,1,0,2160,1.184121,0
writev,1,linux-sysepoll,1,0,0,0,1,1,2,0,10583,4182,2709,36070,25505,63770,46270,21089,19133,20665,15,1438,1,42199,0,0,1,0,1473,0.701543,0
sendfile,0,libev,0,0,0,1,1,1,1,2,20948,12061,5286,32364,21653,58290,20273,9979,24270,17480,2,26163,1,40108,0,1,1,1,547,0.701543,0
sendfile,0,libev,0,0,1,0,1,0,1,0,19567,53481,7856,52219,13063,13974,10300,35719,22108,60007,5,26113,1,53478,0,0,1,1,547,1.01332,0
sendfile,0,libev,0,0,0,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,60007,5,26113,1,14718,0,0,1,0,212,0.958719,0
sendfile,0,libev,0,0,0,1,1,1,1,2,60549,12061,5286,32364,11292,58290,20273,9979,24270,17480,2,26163,1,40108,1,1,1,1,47,0.707914,0
sendfile,0,libev,0,0,0,1,1,1,1,2,60549,12061,5286,32364,11292,58290,20273,9979,24270,17480,2,27775,1,40108,0,1,0,1,212,0.707914,0
writev,0,linux-sysepoll,1,0,1,0,1,1,0,2,1408,18382,51470,34080,13063,26580,10300,35719,22108,49202,5,29614,1,14718,0,1,1,0,285,0.707914,0
write,0,select,0,0,1,0,1,0,1,0,26177,53481,30145,52219,13063,13974,10300,35719,31110,16996,2,26163,1,40108,1,0,0,0,2160,0.707914,0
write,0,select,0,0,1,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,60007,5,26113,1,14718,0,0,1,0,212,0.753443,0
write,0,select,0,0,1,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,42816,5,26113,1,14718,0,0,1,0,212,0.492086,0
write,0,select,0,0,1,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,60007,5,52325,1,14718,0,0,1,0,212,0.492086,0
write,0,select,0,0,1,0,1,0,1,0,19567,53481,30145,28303,13063,13974,10300,35719,22108,60007,8,52325,1,14718,0,1,1,0,2160,0.492086,0
write,0,select,0,0,1,0,1,0,2,0,19567,53481,38836,52219,13063,13974,10300,35719,22108,60007,5,26113,1,14718,0,0,1,0,212,0.492086,0
write,0,poll,0,0,1,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,42816,5,26113,1,14718,0,1,1,0,2160,0.492086,0
sendfile,0,libev,0,0,0,1,1,0,1,2,60549,12061,5286,32364,23735,13974,10300,35719,22108,60007,5,52325,1,14718,0,1,1,0,2160,1.74445,1
write,1,libev,0,0,0,1,1,1,1,2,60549,12061,54184,52219,6493,13974,10300,35719,22108,28870,2,52325,1,6398,0,1,1,0,2160,0.492086,0
sendfile,0,libev,0,1,0,1,1,1,1,2,20948,12061,5286,32364,21653,58290,20273,9979,24270,17480,2,26163,1,40108,1,1,1,1,899,0.839671,0
sendfile,0,select,0,0,0,1,1,1,1,2,20948,12061,5286,32364,21653,38468,20273,9979,24270,35221,2,26163,1,40108,1,1,1,1,899,0.876157,0
sendfile,0,libev,0,0,0,0,1,0,1,0,19567,53481,30145,52219,13063,13974,10300,35719,22108,60007,5,26113,1,14718,0,0,1,0,47,0.941264,0
writev,0,select,0,0,1,0,1,0,1,1,19567,53481,30145,52219,13063,3356,10300,35719,22108,60007,5,52325,1,14718,0,0,1,0,212,0.941264,0
