iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,90,1.1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,1.08
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,90,1.1
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,90,1.06
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,1.11
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.08
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,1.1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,90,1.04
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,1.14
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.06
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,1.08
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,90,1.11
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,1.1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,1.07
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1.02
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,1.04
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.09
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,10,1.18
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,90,1.15
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.15
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.13
1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,90,1.18
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.15
