NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,2.65668,1
1,1,1,0,0,0,0,0,1,0,0,1,0,44,8,1,1.3,1
0,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,2.869857,1
1,1,0,0,0,0,0,0,1,1,0,1,0,22,8,0,2.32668,1
0,0,0,0,0,0,1,0,0,1,0,1,1,22,8,1,2.3889,1
0,0,0,1,1,0,0,0,0,1,0,0,0,22,8,2,1.3,1
1,0,1,1,0,0,0,1,0,0,0,1,0,22,8,2,1.3,1
0,0,0,1,0,0,0,1,0,0,0,1,0,22,8,1,1.3,1
1,0,1,0,1,0,0,0,0,1,0,1,1,22,8,1,1.3,1
0,0,0,1,0,0,1,0,0,1,0,0,0,22,8,0,1.3,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,1,1.6389,1
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,2,2.08335,1
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,2.08335,1
0,0,0,0,1,0,0,0,0,0,0,0,1,8,320,0,1.6389,1
1,0,1,0,0,0,0,0,1,1,0,0,1,8,8,0,2.3778,1
0,0,1,0,0,0,0,0,1,1,0,1,1,8,8,1,2.3778,1
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,2.3778,1
1,1,1,0,0,0,0,0,1,0,0,1,0,22,8,2,2.3778,1
1,0,1,1,0,1,1,0,0,1,0,1,0,8,320,0,2.2278,1
