iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,90,0.49
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0.49
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,0.51
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,90,0.53
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,90,0.54
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.54
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,90,0.55
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,10,0.56
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,0.57
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,90,0.58
0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,10,0.7114822132844904
0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,10,0.7116846584023493
1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,90,0.7117914484618687
0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,90,0.7118024543190768
1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,90,0.7120018912439338
1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,10,0.7125355726420577
0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,90,0.7128053189210533
0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,90,0.7129095838583497
0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,10,0.7130761525107145
0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,10,0.7133503479457738
