auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,1,0,0,0,1,0,0,0,0,0,2.65555,1
0,0,1,0,0,0,0,0,0,0,0,0,2.674067,1
0,0,0,0,0,0,1,1,0,0,0,0,2.65555,1
0,0,1,0,1,0,0,1,0,0,0,0,2.65555,1
0,0,1,0,1,0,1,0,0,0,0,1,2.65555,1
0,0,0,0,1,0,1,0,0,0,0,1,2.65555,1
1,0,1,0,0,1,0,1,0,0,0,0,1.6,1
0,0,0,0,0,0,1,1,1,0,0,0,1.6,1
0,0,0,0,0,0,1,1,1,1,0,0,1.6,1
0,0,0,0,0,0,1,1,1,1,0,1,1.6,1
1,0,1,0,0,0,0,0,0,0,0,0,2.2111,1
0,0,0,0,1,0,1,0,0,0,0,0,2.2111,1
0,0,0,0,0,0,1,0,0,1,0,0,2.2111,1
