OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,21979.368777584
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,27550.4599643058
1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,18891.2278091731
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24509.6681864251
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21967.734916129
1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,22265.8272988215
1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19466.5490035216
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,18969.8961921736
0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,20755.3983575186
0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,18924.4012617701
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,20330.7288988625
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,15373.4100315029
0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,18797.9987957903
0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,17538.4600796737
0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,20265.2239101944
1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,13699.1905493851
1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,20186.5020113548
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,13155.701708902136
1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,15238.959543413
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,13155.700881626928
