NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,1,0,0,0,0,1,0,1,0,1,0,8,8,1,1.97
1,0,0,0,0,1,0,0,1,1,0,1,1,8,8,0,3.45
1,0,0,1,0,0,0,0,1,0,0,1,0,22,8,0,6.27
1,0,1,0,0,1,0,0,1,1,0,1,1,8,160,0,4.12
1,1,1,0,0,0,0,0,1,0,0,1,0,22,8,2,4.62
1,1,1,0,0,0,0,0,1,0,0,1,0,22,8,0,5.21
0,0,1,0,1,0,0,0,0,0,0,1,1,8,8,1,5.04
1,0,1,0,0,1,0,0,0,1,1,1,1,22,320,0,9.91
1,0,1,0,0,1,0,0,1,1,0,0,1,44,320,0,17.07
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,0,5.46
1,1,0,0,0,0,1,0,0,1,0,1,0,22,8,0,5.56
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,1,8.0
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,2,8.04
1,1,1,0,0,0,0,0,0,1,1,1,0,44,8,2,15.14
1,0,1,1,0,0,0,1,0,1,1,1,1,8,8,1,27.451258270923645
0,1,1,0,0,1,0,0,1,1,0,0,0,48,160,0,16.06
0,1,0,1,0,0,0,0,0,0,0,1,1,8,8,1,27.451501225096266
1,1,0,0,1,0,1,1,0,0,0,0,0,48,320,1,27.452097951293737
1,1,1,0,0,0,1,1,0,1,0,1,0,8,8,1,27.45178619611767
0,0,1,0,0,0,0,1,0,1,0,1,0,44,8,1,27.454986928441592
