auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,1,0,1,0,0,1,0,1,0,0,5.89
1,0,0,0,1,0,0,1,0,1,0,0,5.94
1,1,0,1,0,0,0,1,0,1,0,0,7.18
1,0,1,1,1,1,1,0,0,1,0,0,8.83
0,0,0,0,0,0,0,0,1,1,0,0,9.61
0,0,1,1,0,1,0,1,1,1,1,1,15.57
1,0,0,0,1,1,1,1,1,0,0,0,15.59
1,1,1,0,0,0,1,0,1,1,0,0,60.47
1,1,1,1,1,0,1,0,1,1,0,0,60.65
1,1,1,0,0,1,1,1,1,1,0,0,323.29
1,1,0,0,0,1,1,1,1,1,0,0,324.41
1,1,1,1,0,1,1,1,1,0,1,1,324.6
1,1,1,1,1,1,1,0,1,1,1,0,324.68
1,1,1,1,0,1,1,0,1,1,1,0,324.69
1,1,0,1,0,1,0,0,1,0,1,0,324.7
1,1,1,1,1,1,1,0,0,0,1,0,494.26
1,1,1,1,1,1,0,0,0,0,0,0,496.13
0,1,1,1,1,1,1,1,0,1,1,0,496.63
1,1,1,1,1,1,0,1,0,0,0,0,498.68
0,1,1,1,0,1,1,1,0,1,1,0,498.93
