auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,1,1,1,1,1,1,0,0,0,1,1,1.3444,0
1,1,1,1,0,1,0,0,0,0,0,0,1.3444,0
1,1,1,1,1,1,0,0,0,0,0,0,1.3444,0
1,1,1,1,1,1,0,1,0,1,0,1,1.3444,1
1,1,1,1,1,1,1,1,0,0,1,1,1.3444,0
1,1,1,1,1,1,1,1,0,1,0,0,1.3444,0
0,1,1,1,1,1,1,0,1,1,1,1,1.3444,0
0,1,0,1,1,1,0,1,1,1,1,1,1.3444,0
1,1,1,1,1,1,1,0,1,1,0,1,1.3444,0
0,1,1,1,1,1,1,0,1,1,1,0,1.3444,0
0,0,0,1,0,0,0,0,0,1,1,0,1.8222,1
0,0,0,1,1,0,0,0,0,0,0,0,1.0611,0
0,0,0,1,1,0,0,0,0,1,0,0,1.0611,0
0,0,0,1,0,0,0,1,0,1,0,0,1.0611,0
0,1,0,1,1,0,0,1,0,1,0,1,1.0611,0
0,1,0,1,1,0,0,0,0,0,0,0,1.0611,0
0,1,0,1,0,0,0,1,0,1,0,1,1.0611,0
0,1,1,1,1,0,0,0,0,0,0,0,1.0611,0
1,1,0,1,1,0,0,0,0,1,1,0,1.0611,0
1,0,0,0,1,0,0,0,1,1,0,1,1.0611,0
0,0,1,0,1,0,0,1,0,1,0,1,1.8444,1
0,0,1,1,1,0,0,0,1,1,0,0,1.8444,1
0,0,0,0,0,1,0,0,0,0,1,1,2.08885,1
1,0,1,1,1,1,0,0,0,0,0,0,1.8444,1
1,0,1,1,1,1,0,1,0,1,0,1,1.8444,1
1,0,1,1,0,1,0,1,0,1,1,0,1.8444,1
0,1,1,1,0,0,0,0,0,0,0,1,1.8444,1
0,1,1,1,1,0,1,0,0,0,0,0,1.8444,1
1,1,1,1,1,0,1,0,0,0,0,0,1.8444,1
0,1,1,1,1,0,0,0,0,0,0,1,1.8444,1
0,0,1,1,0,0,0,0,0,1,1,0,1.5833,1
0,0,0,1,0,0,0,0,0,0,1,0,1.5833,1
0,0,0,0,0,0,1,0,0,1,1,1,1.5833,1
0,0,1,0,0,0,0,0,0,0,1,0,1.5833,1
0,1,0,0,0,0,0,0,0,0,1,0,1.5833,1
0,1,0,0,0,0,0,0,0,1,1,0,1.5833,1
0,0,0,0,0,0,0,1,1,1,1,1,1.5833,1
0,0,0,1,0,0,0,1,1,1,1,0,1.5833,1
