auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,0,0,1,1,0,0,0,0,0,1,1,1.2111,0
1,0,1,0,0,0,0,1,0,1,0,1,1.548167,1
1,0,0,0,0,0,0,0,0,0,1,0,1.2111,0
1,0,0,1,0,0,1,0,0,0,1,0,1.2111,0
1,0,1,1,0,0,1,1,1,1,1,0,1.2111,0
1,0,0,1,1,0,0,1,1,1,0,1,1.2111,0
1,1,1,0,0,0,1,1,1,1,1,0,1.2111,0
1,0,0,0,0,0,0,1,1,0,1,0,1.2111,0
1,1,1,1,1,0,1,1,1,1,0,0,1.2111,0
1,1,0,0,0,0,1,1,1,1,1,0,1.2111,0
0,0,1,1,0,0,0,1,0,1,0,1,1.2167,0
0,0,1,1,0,0,0,1,0,1,0,0,1.80555,1
1,0,0,0,0,0,0,1,0,0,0,0,1.2167,0
0,0,0,0,1,0,0,0,0,1,0,0,1.80555,1
1,0,0,0,1,0,0,0,0,1,0,0,1.2167,0
1,0,0,0,1,0,1,0,0,1,0,0,1.2167,0
1,0,1,0,1,0,1,0,0,0,0,0,1.2167,0
1,0,0,1,1,0,0,1,1,1,0,0,1.2167,0
0,0,1,0,0,0,0,0,0,0,1,1,1.6444,1
0,0,1,0,0,0,0,0,1,0,1,0,1.6444,1
0,0,0,0,0,0,0,0,1,0,1,0,1.6444,1
0,0,0,0,0,1,0,0,1,0,0,0,1.6444,1
0,1,0,0,0,1,0,1,1,0,0,0,2.15555,1
0,0,0,0,1,0,0,1,0,0,0,1,1.6444,1
0,0,1,0,0,0,0,0,0,0,0,0,1.6444,1
0,0,1,0,1,0,0,0,0,0,0,1,1.6444,1
0,1,0,0,1,1,0,1,0,1,0,0,1.9167,1
0,1,1,0,0,1,0,0,0,1,0,1,1.9167,1
0,1,0,0,0,1,0,0,0,0,0,0,1.9167,1
0,1,1,1,0,1,1,1,1,0,0,0,1.9167,1
1,0,0,0,0,1,0,0,0,0,1,0,1.9167,1
0,0,1,1,0,1,1,1,0,1,1,0,1.9167,1
0,0,0,0,0,1,0,0,0,0,0,0,1.9167,1
1,0,0,1,0,1,0,0,0,0,1,0,1.9167,1
1,0,1,0,0,1,1,1,0,1,1,0,1.9167,1
