id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1320,1,p4x4,3,0.6157864219350295,1,12,0,0,40.02961767606761,2:-2,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,0,0,1,1.02
1331,1,p4x4,3,0.6157864219350295,2,12,0,0,44.70616914544182,-3:3,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,9,80,0,2,0,0,1,1.02
1320,1,p4x4,1,0.6157864219350295,2,4,0,0,44.70616914544182,-3:3,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,9,80,0,2,0,0,1,1.02
1320,1,p4x4,3,0.6157864219350295,1,12,0,0,40.02961767606761,2:-2,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,2,0,1,1.02
1331,1,p4x4,3,0.6157864219350295,2,12,0,0,44.70616914544182,-3:3,spatial,1,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,9,80,0,2,0,0,1,1.02
1905,1,p4x4,3,0.671499867898717,2,12,0,0,44.70616914544182,-3:3,spatial,0,435,4,dia,19,1,1,none,1,high,0.6493532546000097,48,16,247,15,80,0,2,0,1,0,1.02
1331,1,p4x4,2,0.6157864219350295,0,12,0,0,44.70616914544182,-6:6,spatial,0,435,4,dia,15,1,1,none,0,baseline,0.6493532546000097,48,16,96,2,99,1,5,0,0,0,1.02
126,1,p4x4,1,0.6157864219350295,2,4,0,0,44.70616914544182,-3:3,temporal,0,435,4,dia,15,1,1,none,1,high,0.184274686721981,48,16,8,9,80,0,2,0,1,1,1.02
1320,1,p4x4,3,0.6157864219350295,1,12,0,0,40.02961767606761,5:5,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,0,0,1,1.02
1331,1,p4x4,3,0.6157864219350295,2,12,0,0,44.70616914544182,-6:6,spatial,0,435,4,dia,15,1,1,none,0,baseline,0.6493532546000097,48,16,96,2,99,3,5,0,1,0,1.02
1331,1,p4x4,2,0.6157864219350295,0,12,0,0,44.70616914544182,-3:3,spatial,0,435,4,dia,15,1,1,none,0,high,0.6493532546000097,48,16,8,5,80,0,2,0,1,1,1.02
1320,1,p4x4,1,0.6157864219350295,0,0,0,0,40.02961767606761,2:-2,spatial,0,435,1,dia,15,1,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,0,0,2,1.02
339,1,p4x4,1,0.6157864219350295,0,4,0,0,44.70616914544182,-3:3,temporal,0,435,1,dia,36,1,1,none,1,high,0.6493532546000097,48,16,237,15,80,0,61,0,1,0,1.02
126,1,p4x4,1,0.6157864219350295,0,4,0,0,44.70616914544182,-3:3,temporal,0,435,4,tesa,15,1,1,none,0,high,0.6493532546000097,48,8,8,9,88,0,2,0,0,1,1.02
1331,1,p4x4,2,0.6157864219350295,0,12,0,0,44.70616914544182,-3:3,temporal,0,435,4,dia,15,1,1,none,1,high,0.184274686721981,48,16,8,9,80,0,2,0,1,1,1.02
1320,1,p4x4,3,0.6157864219350295,1,12,0,0,13.50888359355011,5:5,none,0,435,4,dia,15,1,1,none,1,high,0.6415358727533688,48,16,8,2,80,0,2,0,0,2,1.02
1320,1,p4x4,1,0.6157864219350295,0,0,0,-6,5.411892350282831,2:-2,spatial,0,435,1,dia,15,0,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,0,0,1,1.02
1331,1,all,3,0.6157864219350295,2,12,0,11,40.02961767606761,2:-2,spatial,0,435,4,hex,15,1,1,none,1,high,0.6493532546000097,48,16,8,2,80,0,2,0,0,0,1.02
126,1,p4x4,1,0.6157864219350295,2,16,0,0,44.70616914544182,2:2,temporal,0,435,4,dia,15,1,1,none,1,high,0.184274686721981,48,8,8,11,88,0,2,0,0,1,1.02
1331,1,p4x4,2,0.6157864219350295,0,12,0,0,4.206129924322289,-6:6,spatial,0,435,4,dia,15,1,1,none,1,high,0.6493532546000097,48,16,237,7,80,0,61,0,1,2,1.02
