OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.5852,1
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1.2444,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1.6,1
0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1.2444,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1.2444,0
1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1.2444,0
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1.2444,0
0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1.2444,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1.2444,0
1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1.2444,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2.4,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.1037,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.4,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.4,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2889,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.3556,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.2889,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.3111,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3111,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.87775,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3111,0
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1.87775,1
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1.3111,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.87775,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2.2222,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2.2222,1
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1.8444,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2.0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2.0,1
