auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,1,1,1,1,1,1,1,0,1,1,0,1.311067,0
1,1,1,1,1,1,1,1,0,0,1,1,1.311067,0
0,1,1,1,1,1,1,1,0,1,1,1,1.311067,0
1,1,0,1,1,1,1,1,0,1,1,0,2.377767,1
1,1,1,1,0,1,1,1,0,1,1,0,1.311067,0
0,1,1,1,1,1,1,1,0,0,1,1,1.311067,0
1,1,1,1,1,1,1,1,0,0,1,0,1.311067,0
0,1,1,1,0,1,1,1,0,1,1,0,1.311067,1
1,1,1,0,1,1,1,1,1,1,0,1,1.311067,1
1,1,1,0,0,1,1,1,1,1,1,0,1.311067,1
0,0,1,0,1,0,0,1,0,1,0,0,1.8222,1
0,0,0,0,1,0,0,0,0,0,0,0,1.8222,1
0,0,1,0,1,0,0,0,0,1,0,0,1.8222,1
1,1,0,0,0,0,0,0,0,0,0,1,2.466667,1
1,0,1,0,1,0,0,0,0,0,0,0,2.466667,1
1,0,0,0,0,0,0,0,0,0,0,0,2.466667,1
0,0,0,0,1,0,1,0,1,0,0,0,1.8222,1
0,0,0,0,1,0,0,0,0,0,1,0,1.8222,1
1,1,1,1,0,0,1,1,1,1,0,0,1.8222,1
1,0,1,0,1,0,1,1,1,1,0,1,1.8222,1
1,0,0,0,0,1,1,1,0,1,1,0,2.111133,1
1,0,0,0,0,0,0,0,0,0,1,0,2.111133,1
1,0,0,0,0,0,1,1,0,1,1,0,2.111133,1
1,1,0,0,0,0,0,0,0,0,0,0,2.111133,1
1,0,0,0,0,0,1,0,0,0,0,1,2.111133,1
1,1,1,1,1,1,1,1,0,1,1,1,2.111133,1
