NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,0,1,0,0,0,0,0,8,320,0,2.92002,1
0,1,0,0,1,1,0,0,0,1,0,1,0,8,8,0,2.92002,1
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,1,2.9278,1
1,1,1,0,0,0,0,0,1,0,0,1,0,22,8,2,1.533367,1
0,0,0,1,1,0,0,0,0,1,0,0,0,8,8,0,1.533367,1
0,0,0,1,0,1,0,0,0,0,1,1,0,8,320,0,1.533367,1
0,0,0,0,0,0,0,1,0,0,0,0,1,8,320,0,1.533367,1
1,1,1,0,0,0,0,0,1,0,0,1,0,22,8,0,1.533367,1
0,0,0,0,0,0,0,0,0,0,1,1,1,22,8,0,1.533367,1
1,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,1.533367,1
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,2,2.600017,1
1,1,1,0,0,0,0,0,1,1,0,1,0,8,8,0,2.600017,1
1,1,1,0,1,0,0,0,0,1,0,0,0,8,8,0,2.600017,1
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,0,2.600017,1
0,1,0,0,1,0,0,0,0,1,0,0,0,8,8,0,2.222233,1
