write,0,select,1,0.1,1.1,0.2,1.2,1.3,0.3,2,2674,27906,20834,36784,18392,24891,55070,35593,9450,8624,9,14473,1.4,36179,0.4,0.5,1.5,0.6,1.6,43202.29
writev,0,linux-sysepoll,1,0,1,0,1,0,1,0,65163,65094,20064,1839,919,32905,35710,54089,6504,5214,7,29958,1,27332,0,1,0,1,771,58840.51
sendfile,0,linux-sysepoll,1,0,0,0,1,1,1,2,24114,49570,47414,31354,919,38103,35710,54089,6504,6609,7,20469,1,16190,0,1,1,1,487,52131.74
sendfile,0,libev,1,0,0,0,1,1,1,2,24114,49570,35074,44253,7419,38103,35710,54089,6504,5214,7,29958,1,16190,0,1,0,1,2012,52131.74
write,0,libev,1,1,1,0,1,0,1,0,65163,65094,20064,1839,919,46258,46458,52837,25242,40582,1,4742,1,3941,1,1,1,1,1712,50185.62
write,0,libev,1,1,1,1,1,0,1,0,65163,65094,58009,1839,11635,46258,47075,52837,25242,40582,1,4742,1,3941,1,1,1,1,1712,50185.62
writev,0,linux-sysepoll,1,0,1,1,1,1,2,0,65163,65094,20064,55732,919,38103,35710,54089,6504,6609,7,20469,1,16190,0,0,0,1,771,50060.8
writev,0,linux-sysepoll,1,0,1,1,1,1,2,0,65163,65094,20064,31354,919,38103,35710,54089,6504,6609,7,20469,1,16190,0,1,1,1,487,49965.84
write,1,linux-sysepoll,0,1,0,0,1,0,1,0,65163,65094,20064,1839,8391,32905,9530,54089,6504,5214,7,29958,1,27332,0,0,1,1,771,49930.98
write,1,linux-sysepoll,1,1,0,0,1,0,1,0,59354,54976,35074,44253,3290,38103,35710,54089,6504,30480,1,17513,1,2910,1,1,0,1,1502,49930.98
write,0,linux-sysepoll,0,1,0,0,1,0,1,0,65163,65094,20064,1839,919,32905,9530,54089,6504,5214,7,29958,1,27332,0,0,1,1,771,49930.98
write,1,linux-sysepoll,1,1,0,0,1,0,1,0,59354,47522,35074,44253,7419,38103,35710,54089,6504,5214,10,57870,0,16190,0,1,0,1,2012,49930.98
write,1,linux-sysepoll,0,0,0,0,1,0,1,0,65163,65094,20064,1839,8391,32905,9530,54089,46173,5214,7,29958,1,27332,0,0,1,1,771,49930.98
write,1,linux-sysepoll,1,1,0,0,1,0,1,0,65163,65094,20064,1839,8391,32905,9530,54089,6504,5214,7,29958,1,27332,0,0,1,1,771,49930.98
write,1,linux-sysepoll,0,1,0,0,1,0,1,0,59354,54976,35074,44253,7419,38103,35710,54089,6504,5214,10,57870,0,16190,0,1,0,1,2012,49446.72
write,1,linux-sysepoll,0,1,0,0,1,0,2,0,59354,54976,35074,44253,7419,38103,35710,39320,6504,5214,7,29958,1,16190,0,1,0,1,311,49446.72
write,1,linux-sysepoll,0,1,0,0,1,0,1,0,59354,54976,35074,44253,7419,38103,35710,54089,6504,5214,6,29958,1,16190,0,1,1,1,535,49446.72
write,1,linux-sysepoll,0,1,0,0,1,0,1,0,59354,54976,35074,44253,7419,38103,35710,54089,6504,5214,7,29958,1,16190,0,1,0,1,2012,49446.72
write,1,linux-sysepoll,0,1,0,0,1,0,1,0,16299,65094,20064,1839,919,32905,35710,54089,6504,5214,7,29958,1,27332,0,1,0,1,771,49446.72
write,1,linux-sysepoll,0,1,0,1,1,0,2,0,65163,14533,20064,31354,919,38103,35710,54089,6504,6609,6,20469,1,41714,0,1,1,1,487,49446.72
write,0,linux-sysepoll,1,0,1,0,1,1,1,2,19674,62978,48786,28958,21054,46258,46458,64298,25242,62830,1,4742,1,3941,0,0,1,0,797,49398.98
