auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,1,0,0,0,1,0,1,0,1,3.19
1,0,0,0,1,0,0,0,0,1,0,0,3.19
1,0,0,1,0,0,0,0,0,0,0,0,3.19
0,0,0,0,0,0,1,0,0,0,0,1,3.19
0,1,1,1,1,0,0,0,1,1,1,1,3.19
0,0,1,1,1,0,0,0,0,0,0,0,3.19
0,0,1,0,1,0,0,1,0,1,0,1,3.19
0,0,0,0,1,0,0,1,1,1,0,0,3.22
0,1,0,1,0,1,1,1,0,1,1,0,5.67
0,1,0,1,1,1,1,0,1,1,1,0,5.68
0,0,0,0,0,1,0,1,0,1,0,0,5.68
0,0,1,0,0,1,1,0,0,1,0,0,5.68
1,1,0,0,1,1,1,0,1,0,0,0,5.68
1,1,1,1,1,1,1,1,1,0,0,0,5.7
1,1,1,1,0,1,1,1,1,1,0,0,5.71
1,1,1,1,1,1,0,0,1,1,1,1,5.71
0,0,0,1,1,1,1,1,1,0,1,0,5.72
1,0,0,1,0,1,0,0,0,0,1,1,5.8611527772034675
0,1,0,0,1,1,1,0,0,1,1,1,5.861168156300791
0,1,0,0,1,1,1,1,1,0,1,1,5.861598693674861
