OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.27776,1
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2.2778,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.53668,1
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1.3222,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2.012933,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.27776,1
0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1.3222,1
1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1.3222,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.3222,1
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.3222,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.512967,1
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.55,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.55,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.55,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.7333,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.7333,1
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.7333,1
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2.0056,1
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2.0056,1
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2.0056,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2.0056,1
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.0056,1
