auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,0,0,1,0,0,0,1,0,1,0,0,2.148133,1
1,0,0,1,1,0,1,0,0,0,0,0,1.044467,1
0,0,1,1,1,0,0,0,0,0,0,0,1.044467,1
0,0,1,0,0,0,0,1,0,0,0,0,1.7852,1
0,0,0,0,0,0,0,0,0,0,0,1,1.7852,1
1,0,0,0,0,0,0,1,0,0,0,0,2.48444,1
1,0,0,0,0,1,0,0,0,0,0,0,1.044467,1
1,0,0,0,0,1,0,1,0,0,1,0,1.044467,1
1,0,0,1,0,0,0,0,1,0,0,0,1.044467,1
1,0,1,1,1,0,0,1,1,0,0,0,1.044467,1
0,0,0,0,0,0,0,1,0,0,0,1,1.4889,1
0,0,0,0,0,0,0,0,0,1,0,0,1.4889,1
0,0,1,0,0,0,0,0,0,0,0,1,1.4889,1
1,0,0,0,0,0,0,1,0,1,0,0,1.4889,1
1,1,0,1,0,0,0,0,0,0,0,1,1.866633,1
1,1,0,1,0,0,0,0,0,1,0,0,1.866633,1
1,1,0,1,0,0,0,1,0,1,0,0,1.866633,1
1,0,1,0,0,0,0,1,0,1,0,0,1.866633,1
1,0,0,1,0,0,0,1,0,1,0,1,1.866633,1
1,0,0,1,0,0,0,0,0,0,0,1,1.866633,1
