iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,90,0.51
0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,10,0.53
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0.53
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,0.54
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,90,0.54
0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,90,0.55
0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,90,0.55
0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,0.55
0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,90,0.55
0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,90,0.56
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,90,0.56
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,10,0.57
0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,90,0.57
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,10,0.58
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0.59
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,10,0.6
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,10,0.62
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0.64
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,10,0.64
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,90,0.65
