auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,1,0,1,0,1,0,1,0,1,0,0,1.333367,0
0,1,0,0,0,1,0,1,0,1,0,0,1.333367,0
1,1,1,1,1,1,1,0,0,0,1,0,1.333367,0
0,1,0,0,0,1,0,1,0,1,0,1,1.333367,0
0,1,0,1,0,1,1,1,0,1,1,0,1.333367,0
0,1,0,0,0,1,0,1,0,1,1,0,1.333367,0
1,1,1,1,1,1,0,1,0,1,0,0,1.333367,0
1,1,1,0,0,1,1,1,0,1,0,0,1.333367,1
0,1,0,0,0,1,0,0,0,0,1,1,1.333367,1
0,1,1,1,1,1,0,1,1,0,1,0,1.333367,1
1,0,0,0,0,0,0,1,0,1,0,0,1.3778,1
1,0,0,0,0,0,1,0,0,1,0,0,1.3778,1
1,0,0,0,1,0,0,0,0,0,0,1,1.3778,1
1,0,0,0,0,1,0,1,0,1,1,0,1.3778,1
1,1,0,1,0,0,0,0,0,1,0,0,1.3778,1
0,1,0,0,1,0,0,0,0,0,0,0,1.3778,1
1,1,0,0,0,0,0,0,0,0,0,0,1.3778,1
1,1,1,1,1,0,0,0,0,1,0,0,2.033367,1
1,1,1,1,1,0,0,0,0,0,0,0,2.033367,1
1,1,1,1,1,0,0,0,0,0,0,1,2.033367,1
1,1,1,1,1,0,0,0,0,0,1,0,1.688933,1
1,1,1,0,0,0,0,0,0,0,0,1,1.688933,1
1,1,0,0,0,0,0,0,0,1,0,0,1.688933,1
1,1,1,1,1,0,0,0,0,1,1,0,1.688933,1
1,1,1,0,0,0,0,0,0,0,0,0,1.688933,1
1,1,0,0,0,0,0,1,0,1,0,0,1.688933,1
1,1,1,1,1,0,0,1,0,1,1,0,1.688933,1
