NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,1.45
1,1,1,0,0,1,1,0,0,1,0,1,0,44,320,0,2.54
1,0,0,0,1,0,0,0,0,0,0,1,1,8,8,1,2.95
1,0,1,1,1,1,0,0,0,1,0,1,0,22,160,0,4.26
1,0,0,0,0,0,0,0,1,0,0,0,1,44,8,1,4.83
0,0,0,0,0,0,0,0,1,1,0,1,1,22,8,0,6.22
1,0,1,1,1,0,0,0,0,0,0,0,0,44,8,0,8.64
0,0,0,1,1,0,0,0,0,0,0,1,0,48,8,1,8.76
1,0,0,0,0,0,0,0,1,1,0,1,1,44,8,1,9.45
0,0,1,0,0,0,0,0,0,0,1,0,1,48,8,2,12.03
0,0,0,0,0,0,0,1,1,0,1,0,1,44,160,2,30.751531627455442
0,1,1,1,1,0,1,0,0,0,1,1,1,8,8,2,30.75301265003663
1,0,1,0,0,0,0,1,0,0,1,1,1,44,320,1,30.75335169883401
1,1,0,1,1,0,1,0,0,1,1,1,0,22,160,2,30.75367738765408
1,0,1,1,0,1,1,0,1,1,1,0,0,48,320,1,30.75368750571771
0,0,0,0,1,0,0,0,0,0,1,0,0,22,320,1,30.754324766712504
0,0,0,1,1,1,0,1,0,1,0,0,0,8,8,2,30.75447244893883
0,1,1,1,0,0,1,1,1,1,0,1,0,22,160,1,30.754622462984777
1,0,0,0,1,1,1,0,1,1,1,1,1,22,320,0,30.75494096839465
1,0,0,0,0,1,1,0,1,1,0,0,0,22,320,0,30.755294839981534
