auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,1,0,0,0,0,0,0,0,0,0,2.377767,1
1,1,1,0,1,0,0,1,0,1,1,0,1.377767,0
1,1,1,1,1,0,0,0,0,1,1,1,1.377767,0
0,0,1,0,0,0,1,0,0,0,0,1,2.377767,1
1,0,0,1,1,0,0,0,1,0,1,0,1.377767,0
0,0,0,0,0,0,0,0,0,0,0,0,1.377767,0
1,1,0,0,1,0,0,1,0,1,0,0,1.377767,0
1,0,0,0,1,0,0,1,0,1,0,0,1.377767,0
1,1,1,0,1,0,1,1,1,1,1,1,1.377767,0
1,1,1,1,1,0,0,1,1,1,1,1,1.377767,0
0,1,1,0,0,1,0,1,0,1,0,0,1.7778,1
1,1,1,1,1,1,1,1,0,0,1,1,1.7778,1
0,1,1,0,0,1,0,1,0,1,0,1,1.7778,1
1,1,1,1,1,1,1,1,0,0,1,0,1.7778,1
1,1,1,0,1,1,1,1,0,0,0,0,1.7778,1
1,1,1,1,1,1,1,1,0,1,0,0,1.7778,1
1,1,0,1,0,1,1,0,1,0,0,0,1.7778,1
0,1,1,1,1,1,1,1,1,0,1,1,1.7778,1
0,1,0,1,1,1,1,0,1,0,0,0,1.7778,1
0,1,1,1,1,1,1,0,1,0,0,1,1.7778,1
0,0,0,0,0,0,1,0,0,0,0,0,2.044433,1
0,0,1,1,1,0,0,0,0,0,0,0,2.044433,1
0,0,1,0,1,0,1,0,0,0,0,1,2.044433,1
0,0,1,0,1,0,0,0,0,0,0,1,2.044433,1
0,0,1,0,0,0,0,0,0,1,0,0,2.044433,1
0,0,1,0,1,0,0,1,0,1,0,0,2.044433,1
0,0,0,0,0,0,0,0,0,0,0,1,2.044433,1
0,0,1,0,0,0,0,0,0,0,0,1,2.044433,1
