auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,0,0,1,0,0,1,0,0,2.237033,1
0,0,0,0,0,0,1,0,0,0,0,0,2.638875,1
0,0,0,0,0,0,0,0,0,1,0,0,1.2667,0
0,0,0,0,0,0,0,1,0,1,0,0,2.437033,1
0,0,0,0,0,0,1,1,0,0,0,0,1.2667,0
0,0,0,0,0,0,1,1,1,0,0,0,1.2667,0
0,0,0,0,0,0,1,1,1,1,0,0,1.2667,0
0,1,0,0,0,0,1,0,0,0,0,0,1.2667,0
0,1,1,1,0,0,1,1,0,1,0,1,1.2667,0
1,0,1,1,0,1,1,1,0,1,0,0,1.2667,0
0,0,0,0,0,1,0,0,0,0,1,0,1.4444,0
0,0,0,0,0,1,1,0,0,0,1,0,1.4444,0
1,0,0,0,0,0,1,0,0,0,1,0,1.8333,1
0,0,1,0,0,0,1,0,0,0,1,0,1.8333,1
0,0,0,0,0,0,1,1,0,0,1,1,1.8333,1
0,0,0,0,0,0,1,0,0,0,1,0,1.8333,1
0,0,0,0,0,0,0,1,0,1,1,0,1.8333,1
0,0,0,0,0,0,1,1,0,0,1,0,1.8333,1
0,0,0,0,0,0,1,0,0,0,0,1,1.8333,1
1,0,0,1,0,0,1,0,0,1,1,1,1.6222,0
1,1,1,1,1,1,0,1,0,0,0,0,1.8,0
1,1,0,1,0,1,0,0,0,1,1,0,1.8,0
1,1,1,1,1,1,0,0,0,0,1,0,1.8,0
1,1,1,1,1,1,0,1,0,1,1,0,1.8,0
1,1,1,1,1,1,0,1,0,1,1,1,1.8,1
1,1,1,1,0,1,0,0,0,0,1,0,1.8,0
1,1,1,1,1,1,1,0,0,0,1,0,1.8,0
1,1,0,1,1,1,0,0,1,1,1,1,1.8,1
1,1,1,1,1,1,0,1,1,1,1,0,1.8,1
0,1,1,1,1,1,0,1,1,1,0,1,1.8,1
0,0,0,1,0,0,0,0,0,1,0,0,2.0222,1
0,0,0,1,0,0,0,0,0,0,0,0,2.0222,1
0,0,0,1,0,0,1,0,0,0,0,0,2.0222,1
0,0,0,1,0,0,0,1,0,0,0,0,2.0222,1
0,0,0,1,1,0,0,0,0,1,0,0,2.0222,1
0,0,1,0,0,0,1,0,0,0,0,0,2.0222,1
