auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,1,0,0,0,0,0,0,0,0,0,0,1.6889,1
0,0,0,0,0,0,0,1,0,0,1,0,1.6889,1
0,0,0,0,0,0,0,0,0,1,1,0,1.6889,1
1,0,0,0,0,0,1,0,0,1,1,0,2.540767,1
0,0,0,0,1,0,0,0,1,0,1,0,1.6889,1
0,1,0,0,1,0,0,0,0,1,1,0,1.6889,1
1,1,0,0,0,0,0,1,0,0,0,0,1.6889,1
1,1,0,0,0,0,0,0,1,1,1,0,1.6889,1
1,0,0,0,0,0,0,1,0,0,1,1,2.540767,1
1,0,0,0,1,0,0,1,0,0,1,0,2.540767,1
0,0,0,0,0,1,0,0,0,1,1,0,1.9667,1
0,0,0,0,0,1,1,0,0,1,1,0,1.9667,1
1,0,0,0,0,0,0,0,0,1,1,0,1.9667,1
1,0,0,0,0,0,0,1,0,0,1,0,1.9667,1
