auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,1,0,0,0,0,0,1,0,1.555567,0
0,0,0,0,1,0,0,0,1,0,1,0,1.555567,0
0,1,1,1,0,0,0,1,1,0,1,0,1.555567,0
0,1,0,0,0,0,0,1,1,0,1,0,1.555567,0
0,1,1,0,0,1,0,0,0,0,0,0,1.555567,0
0,0,0,0,1,1,1,1,1,0,0,0,1.555567,0
0,1,1,1,1,1,1,1,1,0,0,0,1.555567,1
0,1,1,1,1,1,1,1,1,0,1,0,1.555567,1
0,1,0,1,1,1,0,0,1,0,1,0,1.555567,1
0,1,1,0,1,1,1,1,1,1,1,0,1.555567,1
1,1,1,0,0,0,0,1,0,1,0,1,2.455567,1
1,1,1,0,0,0,0,1,0,1,0,0,2.455567,1
1,1,0,0,0,0,0,1,0,1,0,0,1.7556,1
1,0,0,0,0,0,0,0,0,0,1,0,2.455567,1
1,0,1,0,0,0,0,1,0,1,0,0,1.7556,1
1,0,1,0,1,0,1,0,0,0,1,0,1.7556,1
1,0,1,0,0,0,0,1,0,1,0,1,1.7556,1
1,0,0,0,1,0,0,1,0,1,0,0,2.455567,1
1,0,0,0,0,0,0,1,0,1,0,0,1.7556,1
1,0,0,1,1,0,0,0,0,0,0,0,1.7556,1
1,0,0,0,0,1,0,0,0,0,0,0,2.155533,1
1,0,0,0,0,1,0,1,0,0,1,0,2.155533,1
1,0,0,0,0,1,0,0,0,0,1,0,2.155533,1
1,0,0,0,0,1,0,1,0,1,1,0,2.155533,1
1,0,1,1,0,0,0,0,0,1,0,0,2.155533,1
1,0,0,0,1,0,0,1,0,1,0,1,2.155533,1
