auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,1,0,0,0,0,0,1,0,0.15
1,0,1,0,1,0,1,0,0,0,1,0,0.15
1,0,0,0,1,0,0,1,0,0,1,0,0.15
1,0,0,0,1,0,0,0,0,0,1,0,0.15
0,0,0,0,1,0,0,0,0,0,1,0,2.04
0,0,1,1,0,0,0,0,0,0,1,0,2.76
0,0,0,1,0,0,0,0,0,0,0,0,4.05
0,0,0,1,0,0,0,0,0,0,0,1,4.06
1,0,0,1,1,0,0,0,0,0,0,0,4.34
1,0,0,1,0,0,0,1,0,1,0,0,4.34
1,0,0,1,1,0,0,0,0,1,0,0,4.34
1,0,0,1,0,0,0,0,0,0,0,1,4.35
1,0,1,1,0,0,0,0,0,0,0,0,4.37
0,1,1,0,1,0,0,0,0,0,0,0,6.48
0,1,0,1,0,0,1,1,0,1,0,1,6.54
0,1,0,0,0,0,0,0,0,0,1,0,7.43
0,1,1,0,1,0,0,0,0,0,1,0,8.08
1,0,0,1,1,0,0,0,0,0,1,1,8.98
1,0,0,0,1,0,1,0,0,1,0,0,9.71
1,0,0,0,1,0,0,0,0,0,0,0,9.85
