auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,1,1,0,0,0,0,0,0,0,5.89
1,0,0,0,0,0,0,1,0,0,0,1,5.92
0,0,1,1,0,0,0,1,0,0,0,1,5.93
1,0,0,0,0,0,0,0,0,0,0,1,5.93
1,0,1,1,0,0,0,0,0,1,0,0,5.94
1,0,1,1,1,0,0,0,0,1,0,1,5.95
1,0,1,1,0,0,0,1,0,1,0,1,5.96
0,1,0,1,0,0,0,0,0,0,0,0,7.06
0,1,0,0,1,0,0,0,0,1,1,1,7.1
1,1,0,0,0,0,1,1,0,1,0,1,7.13
1,1,0,0,0,0,0,0,0,0,0,1,7.15
1,1,0,0,0,0,0,0,0,0,0,0,7.15
1,1,1,0,0,0,0,0,0,0,0,1,7.16
1,1,0,0,0,0,0,1,0,1,1,1,7.17
1,1,0,1,0,0,0,0,0,1,1,0,7.17
1,1,1,0,0,0,0,0,0,0,0,0,7.18
1,1,1,0,0,0,0,1,0,1,0,1,7.2
1,1,0,0,1,0,0,0,0,0,1,1,7.21
1,1,1,0,1,0,0,1,0,1,1,0,7.21
1,1,1,1,1,0,0,1,0,0,0,1,7.22
