OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,46984.9833270687
1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,46743.4833177522
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,46232.1332793958
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,45873.9998019772
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,45642.6999923929
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,45580.3499301101
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,45561.216618068
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,44408.3665119775
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,32348.0333333333
0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,31706.0166196361
1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,31693.7166624408
1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,31478.9333238896
0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,31132.5999071211
1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,30867.5832952633
1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,30670.3166457086
1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,30524.9833292633
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,29749.433255489
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,29749.433255489
1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,29641.0499975299
1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,29590.4332578777
