iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90,0.59
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,90,0.56
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,10,0.66
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,10,0.64
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,90,0.6
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,90,0.59
1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,90,0.54
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.59
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,90,0.56
1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,90,0.59
1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,10,0.62
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,90,0.61
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,90,0.55
1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,10,0.71
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,0.6
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,10,0.65
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,90,0.58
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,0.51
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,90,0.54
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,0.53
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,90,0.54
1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,90,0.54
1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,90,0.53
0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,90,0.59
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0.64
