id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1945,0,p4x4,0,1.3454092367314217,1,9,0,-5,18.70300807389903,1:1,none,1,405,0,hex,55,0,0,vbr,0,high,0.0550138286849547,30,2,149,4,0,11,23,1,1,1,1.2
1877,0,all,0,1.9754280279045648,1,6,0,1,2.7264505366798213,-3:3,auto,1,66,3,esa,41,1,1,none,1,baseline,0.340975792002073,39,1,113,3,37,4,53,2,0,1,1.69
672,1,p4x4,3,0.7466143711036375,1,1,1,6,32.370527809888735,1:1,temporal,0,175,4,esa,10,0,0,vbr,1,high,0.5336789633134136,37,4,200,3,100,10,36,0,1,1,1.8
533,1,p4x4,2,1.2945722278459313,1,12,0,8,4.2515226717746994,-1:1,spatial,1,64,0,hex,10,1,1,cbr,0,main,0.0782802010712739,51,19,55,12,18,10,34,0,1,1,2.14
1426,1,p4x4,2,1.2945722278459313,1,12,1,8,4.2515226717746994,-1:1,spatial,1,64,0,umh,10,1,1,none,0,main,0.0782802010712739,51,19,55,12,18,10,34,0,1,1,2.14
657,0,none,0,1.2945722278459313,1,12,0,8,4.2515226717746994,-1:1,spatial,1,64,0,hex,10,1,1,cbr,0,main,0.0782802010712739,51,19,55,12,82,10,64,0,1,1,2.14
533,1,p4x4,2,1.2945722278459313,1,12,0,8,4.2515226717746994,-1:1,spatial,1,64,0,hex,32,1,1,vbr,0,main,0.0782802010712739,41,19,55,12,18,10,36,2,1,1,2.14
672,1,p4x4,3,0.7466143711036375,1,1,1,6,32.370527809888735,1:1,temporal,0,175,4,esa,10,0,0,vbr,1,high,0.5336789633134136,48,9,20,14,37,6,42,1,1,2,2.23
284,0,none,2,1.0968777803862997,2,12,1,-3,8.171946540186346,6:-6,auto,1,371,1,umh,33,1,0,none,0,high,0.5299134384544688,50,0,14,8,31,11,64,0,0,1,2.28
672,0,none,2,1.0968777803862997,2,12,1,-3,5.511207645431871,6:-6,auto,1,371,1,umh,33,1,0,none,0,high,0.5299134384544688,50,0,14,8,31,11,64,0,0,1,2.28
1877,0,all,0,1.9754280279045648,1,6,0,1,2.7264505366798213,-3:3,auto,0,66,3,esa,41,1,1,cbr,0,baseline,0.340975792002073,39,1,147,3,37,4,53,2,0,0,2.31
1877,0,all,0,0.3976637460213015,1,6,0,1,2.7264505366798213,-3:3,auto,0,66,3,esa,26,1,1,cbr,0,baseline,0.340975792002073,39,1,147,3,37,2,53,2,0,0,2.31
726,1,all,0,0.8598522756490625,0,6,0,1,2.7264505366798213,-3:3,auto,0,66,3,esa,54,1,1,cbr,0,baseline,0.340975792002073,39,1,147,3,12,4,53,2,0,0,2.31
1927,0,all,0,1.5183341721042063,1,6,0,4,2.7264505366798213,-3:3,auto,0,66,3,esa,25,1,1,cbr,0,baseline,0.340975792002073,39,1,147,3,37,4,53,2,0,0,2.31
841,0,all,2,1.9764779946136457,0,2,1,5,30.67779724178076,2:-2,spatial,0,371,1,hex,33,0,0,none,0,main,0.965548204926018,37,17,101,14,99,6,42,2,1,0,2.98
657,0,none,0,1.2075906370613234,2,5,1,5,30.67779724178076,2:-2,spatial,0,371,1,hex,33,0,0,none,0,main,0.965548204926018,37,17,101,14,99,6,42,2,1,0,2.98
1036,0,none,1,1.1111882538358724,2,14,1,-7,49.20779642337689,2:2,spatial,1,487,1,hex,48,0,0,none,1,main,0.990015743721842,34,19,200,16,7,3,60,2,1,1,3.23
1036,0,none,1,1.1111882538358724,2,14,1,-7,49.20779642337689,2:2,spatial,1,487,1,hex,48,0,0,none,1,main,0.990015743721842,34,19,200,16,7,3,42,1,1,2,3.23
657,0,none,1,1.2075906370613234,2,5,1,5,30.67779724178076,2:-2,spatial,1,371,1,hex,33,0,0,none,1,main,0.340975792002073,39,1,113,4,37,4,53,2,0,2,3.23
1036,0,none,1,1.1111882538358724,2,14,1,-7,49.20779642337689,2:2,spatial,1,487,1,hex,48,0,0,none,1,main,0.990015743721842,34,19,200,16,7,3,60,2,1,0,3.23
