OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.511067,0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1.2444,0
1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1.2444,0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1.5444,0
1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1.2444,0
1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.2444,0
1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1.2444,0
0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1.2444,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.2444,0
0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1.2444,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.140733,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.51665,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.2444,0
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1.2444,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.75555,1
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1.75555,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.2444,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9889,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.6667,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.6667,1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.6667,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.6667,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6667,1
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2.07775,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.7111,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2.07775,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.07775,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.07775,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.7111,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1.7111,1
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.8444,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.8444,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.8444,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.8444,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.8444,1
