iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,90,0.5
1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,90,0.5
1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.51
0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,90,0.51
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,90,0.51
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,90,0.51
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,0.52
0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,90,0.52
0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,90,0.52
0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,90,0.54
1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,90,0.54
1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,90,0.56
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,90,0.57
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,10,0.57
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,90,0.58
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0.58
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,10,0.59
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,0.6
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,90,0.61
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,10,0.62
