auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,1,1,0,1,1,1,1,0,1,1,2.68
1,1,1,1,0,1,1,1,1,1,1,0,1.83
1,0,1,0,1,1,0,0,1,0,1,0,2.68
1,1,1,0,0,0,0,1,0,1,0,1,4.54
0,0,1,1,0,1,1,1,1,0,1,0,2.69
0,0,0,0,0,0,1,0,0,0,1,1,4.13
0,0,0,1,1,1,1,0,0,1,0,0,2.65
1,0,1,0,1,1,1,1,0,1,0,1,2.65
1,0,0,1,1,1,1,1,1,0,0,0,2.69
1,0,1,1,0,1,1,1,0,1,0,0,2.65
0,0,0,1,1,1,1,0,1,0,1,0,4.671621394289858
0,0,1,0,0,0,1,1,1,1,1,1,4.678019759621735
1,0,0,1,0,1,0,0,1,1,1,1,4.6787416790488185
1,1,1,0,0,0,0,1,0,1,1,0,4.67312289582017
1,1,0,1,0,0,0,0,1,1,0,0,4.671333629200236
0,1,1,0,0,1,0,0,1,0,0,0,4.676478988703809
0,0,1,0,1,0,0,1,1,1,1,0,4.674795219167372
0,1,0,0,1,1,1,0,0,1,1,1,4.678338838756731
1,1,0,1,0,1,1,1,1,0,1,1,4.67810691807496
0,1,1,1,1,1,0,1,1,1,1,0,1.82
0,0,1,1,1,1,1,1,0,0,1,0,2.65
0,0,1,0,1,1,0,1,0,1,0,0,2.65
0,1,0,0,0,1,0,0,0,1,1,0,4.6766132621826175
1,0,1,0,1,1,1,0,1,0,1,0,4.674648155630273
0,0,0,0,1,0,1,0,1,1,0,1,4.19
1,1,0,1,1,0,0,1,1,1,0,1,4.678550824131895
0,1,1,1,1,1,0,0,1,0,0,1,4.676034248034444
0,0,1,1,0,1,1,0,0,0,1,0,4.671014455006347
1,1,0,1,0,1,1,1,1,1,1,1,4.678789587064908
0,1,0,1,1,0,1,0,1,0,0,0,4.672852042899218
0,0,1,1,1,1,1,1,0,0,0,0,4.677402110471408
