auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,1,0,0,0,0,0,0,0,0,0,1,1.1778,0
0,0,0,0,0,0,0,1,0,0,0,0,1.84445,1
0,0,0,0,0,0,1,0,0,0,0,0,1.84445,1
0,1,0,0,1,0,0,0,0,0,0,0,1.1778,0
0,1,0,0,1,0,0,0,0,0,0,1,1.1778,0
0,0,1,0,0,0,1,0,0,0,0,1,1.1778,0
0,1,0,0,0,0,0,0,0,0,0,0,1.1778,0
0,0,0,1,0,0,0,1,0,0,0,1,1.84445,1
0,0,1,0,1,0,0,0,0,0,0,1,1.1778,0
0,1,1,1,1,1,0,0,0,0,1,0,1.2,0
0,1,1,1,1,1,0,0,1,1,0,1,1.2,0
0,0,0,1,0,1,0,0,0,0,1,0,1.2,0
1,0,0,1,0,1,0,1,0,0,1,0,1.2,0
1,0,0,1,0,1,0,0,0,0,1,0,1.2,0
0,0,0,1,0,1,0,1,0,0,0,0,1.2,0
1,0,0,0,1,1,0,0,0,0,1,0,1.2,0
0,0,0,1,0,1,0,0,0,0,0,0,1.2,0
1,0,0,0,0,0,0,0,0,1,0,1,1.8,1
1,0,1,0,1,0,0,0,0,0,0,1,1.2,0
0,0,0,1,0,0,0,0,0,0,0,1,1.7111,1
0,0,1,1,0,0,0,1,0,1,0,1,1.7111,1
1,0,0,1,0,0,0,1,0,1,0,1,2.27775,1
0,0,1,0,0,0,1,0,0,0,0,0,1.7111,1
1,0,0,0,0,0,0,1,0,1,0,0,1.7111,1
0,0,0,0,0,0,1,0,0,0,0,1,1.7111,1
1,0,0,0,0,0,0,1,0,0,0,1,1.7111,1
1,1,0,1,0,0,1,0,0,0,1,0,2.1222,1
1,1,0,1,0,0,0,0,0,0,0,0,1.6,0
1,1,0,0,0,0,0,0,0,0,1,0,1.6,0
1,1,0,0,0,0,0,0,0,0,0,0,1.6,0
1,1,0,1,0,0,0,0,0,1,0,0,1.6,0
1,1,0,0,0,0,0,1,0,1,1,0,1.6,0
1,0,0,0,0,0,1,1,0,0,1,0,2.1222,1
1,0,1,1,0,1,0,0,0,0,0,0,2.0444,1
1,0,0,1,0,1,0,0,0,0,0,0,2.0444,1
1,0,0,1,0,0,0,0,0,0,1,0,2.0444,1
1,0,0,0,0,0,0,0,0,1,0,0,2.0444,1
1,0,0,0,0,0,0,0,0,0,0,1,2.0444,1
1,0,1,0,1,0,0,0,0,0,0,0,2.0444,1
1,1,1,1,0,0,1,1,0,1,0,1,2.0444,1
