auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,1,1,0,1,1,1,1,0,1,1,0,1.333367,0
1,1,1,1,0,1,1,1,0,1,0,0,1.333367,0
0,1,0,0,0,1,1,1,0,1,0,0,1.333367,0
1,1,1,0,1,1,1,1,0,0,1,1,1.333367,0
0,1,1,0,0,1,0,1,0,1,0,0,1.333367,0
1,1,0,0,1,1,1,0,0,0,1,0,1.333367,0
1,1,1,0,0,1,1,1,0,1,0,0,1.333367,0
0,1,0,0,1,1,1,1,1,1,1,0,1.333367,1
1,1,0,1,1,1,0,0,1,0,0,1,1.333367,1
1,1,1,0,0,1,0,0,1,1,0,0,1.333367,1
0,0,1,0,1,0,0,0,0,0,0,1,1.7778,1
1,1,1,0,0,0,0,1,0,1,0,0,2.488917,1
0,1,1,0,0,0,0,1,0,1,0,0,2.488917,1
0,1,1,0,1,0,0,1,0,0,0,0,2.488917,1
1,0,1,1,1,1,1,1,0,1,0,1,1.7778,1
1,0,1,1,0,1,1,1,0,1,0,0,1.7778,1
1,0,1,1,0,1,1,1,0,1,0,1,1.7778,1
1,0,1,1,0,1,1,1,0,0,0,0,1.7778,1
1,0,1,1,0,1,0,0,0,0,0,1,1.7778,1
0,0,1,0,1,1,1,1,0,1,1,0,1.7778,1
1,1,1,0,0,0,0,1,0,1,0,1,2.200033,1
1,1,0,0,0,0,1,0,0,1,0,0,2.200033,1
1,1,0,0,0,0,1,1,0,1,0,0,2.200033,1
1,0,1,0,0,0,0,1,0,0,0,0,2.200033,1
1,0,1,0,0,0,0,1,0,1,0,1,2.200033,1
0,1,1,0,0,0,0,1,0,1,0,1,2.200033,1
0,1,1,0,0,0,1,1,0,1,0,0,2.200033,1
