Workload,Algorithm,r,Mean (Std),IQR
corona,FEMOSAA,4.0,0.954 (0.044),0.050
corona,SEED-EA,1.0,0.910 (0.019),0.010
corona,DSOGA,4.0,0.912 (0.017),0.020
corona,LiDOS,4.0,0.915 (0.023),0.020
corona,OpperTune,4.0,1.029 (0.076),0.113
corona,DLiSA,3.0,0.911 (0.019),0.020
corona,DLiSA-B4,2.0,0.911 (0.022),0.010
cranium,FEMOSAA,3.0,1.384 (0.032),0.040
cranium,SEED-EA,2.0,1.344 (0.025),0.010
cranium,DSOGA,3.0,1.345 (0.025),0.020
cranium,LiDOS,3.0,1.347 (0.029),0.020
cranium,OpperTune,3.0,1.460 (0.077),0.090
cranium,DLiSA,3.0,1.345 (0.025),0.020
cranium,DLiSA-B4,1.0,1.343 (0.029),0.010
cubus,FEMOSAA,3.0,4.335 (0.170),0.105
cubus,SEED-EA,1.0,4.208 (0.071),0.040
cubus,DSOGA,3.0,4.211 (0.065),0.040
cubus,LiDOS,2.0,4.208 (0.077),0.030
cubus,OpperTune,3.0,4.634 (0.382),0.442
cubus,DLiSA,3.0,4.211 (0.066),0.040
cubus,DLiSA-B4,3.0,4.210 (0.066),0.040
flame,FEMOSAA,3.0,1.233 (0.031),0.020
flame,SEED-EA,1.0,1.198 (0.025),0.040
flame,DSOGA,3.0,1.202 (0.024),0.040
flame,LiDOS,2.0,1.199 (0.025),0.040
flame,OpperTune,3.0,1.308 (0.087),0.113
flame,DLiSA,3.0,1.200 (0.022),0.040
flame,DLiSA-B4,3.0,1.200 (0.027),0.040
france,FEMOSAA,4.0,2.508 (0.068),0.090
france,SEED-EA,3.0,2.408 (0.038),0.020
france,DSOGA,4.0,2.415 (0.045),0.030
france,LiDOS,1.0,2.405 (0.030),0.020
france,OpperTune,4.0,2.629 (0.107),0.143
france,DLiSA,3.0,2.411 (0.032),0.020
france,DLiSA-B4,2.0,2.406 (0.027),0.020
frisco,FEMOSAA,3.0,3.312 (0.133),0.155
frisco,SEED-EA,1.0,3.166 (0.065),0.050
frisco,DSOGA,2.0,3.169 (0.078),0.050
frisco,LiDOS,3.0,3.174 (0.069),0.050
frisco,OpperTune,3.0,3.603 (0.232),0.292
frisco,DLiSA,3.0,3.179 (0.097),0.050
frisco,DLiSA-B4,3.0,3.177 (0.086),0.050
jelly,FEMOSAA,4.0,1.170 (0.030),0.040
jelly,SEED-EA,2.0,1.138 (0.015),0.010
jelly,DSOGA,3.0,1.140 (0.016),0.010
jelly,LiDOS,3.0,1.139 (0.020),0.010
jelly,OpperTune,4.0,1.245 (0.072),0.110
jelly,DLiSA,3.0,1.139 (0.017),0.010
jelly,DLiSA-B4,1.0,1.137 (0.012),0.010
karte,FEMOSAA,4.0,7.250 (0.259),0.150
karte,SEED-EA,3.0,7.081 (0.089),0.020
karte,DSOGA,2.0,7.079 (0.059),0.070
karte,LiDOS,4.0,7.096 (0.125),0.070
karte,OpperTune,4.0,7.605 (0.474),0.610
karte,DLiSA,3.0,7.086 (0.155),0.060
karte,DLiSA-B4,1.0,7.076 (0.057),0.020
mandelbrot,FEMOSAA,3.0,1.078 (0.018),0.020
mandelbrot,SEED-EA,2.0,1.050 (0.014),0.010
mandelbrot,DSOGA,3.0,1.051 (0.016),0.010
mandelbrot,LiDOS,3.0,1.052 (0.014),0.020
mandelbrot,OpperTune,3.0,1.110 (0.031),0.040
mandelbrot,DLiSA,3.0,1.051 (0.015),0.010
mandelbrot,DLiSA-B4,1.0,1.050 (0.012),0.010
strawberry,FEMOSAA,3.0,1.157 (0.041),0.050
strawberry,SEED-EA,2.0,1.119 (0.021),0.002
strawberry,DSOGA,3.0,1.121 (0.025),0.010
strawberry,LiDOS,1.0,1.119 (0.018),0.010
strawberry,OpperTune,3.0,1.238 (0.076),0.103
strawberry,DLiSA,3.0,1.119 (0.023),0.010
strawberry,DLiSA-B4,3.0,1.120 (0.024),0.010
village,FEMOSAA,3.0,1.703 (0.062),0.035
village,SEED-EA,2.0,1.627 (0.030),0.012
village,DSOGA,3.0,1.629 (0.031),0.020
village,LiDOS,3.0,1.631 (0.051),0.010
village,OpperTune,3.0,1.822 (0.117),0.160
village,DLiSA,3.0,1.630 (0.036),0.020
village,DLiSA-B4,1.0,1.626 (0.030),0.010
