OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2.9111,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2.5111,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.7222,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0963,1
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1.3111,0
1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1.3111,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.3111,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3111,0
1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1.3111,0
0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1.3111,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1.9222,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2.5185,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.5111,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.5333,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.5333,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.3111,1
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1.7111,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.3111,1
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1.7111,1
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1.8889,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.8889,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.8889,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2.1111,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.1111,1
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.1111,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2.1111,1
