iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,90,0.61
0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,90,0.52
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,10,0.58
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,0.58
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,10,0.64
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0.59
0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,90,0.5
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,90,0.51
0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,90,0.52
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,90,0.5
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,10,0.62
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,10,0.63
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,0.59
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,0.52
0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,0.61
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,0.52
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,0.51
0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,90,0.52
0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,10,0.62
0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,90,0.48
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,10,0.61
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,90,0.51
0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,90,0.5
0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,90,0.52
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0.61
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,10,0.64
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,90,0.61
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.52
0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,90,0.52
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,90,0.54
0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,90,0.6718885314004018
0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,90,0.6716304888481817
0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,90,0.6777341339983086
