id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
2183,0,p4x4,0,1.8702013244695497,1,1,1,-11,3.8078092229579297,2:2,spatial,0,297,3,tesa,30,1,1,cbr,0,baseline,0.20369733279575,39,12,129,1,1,8,45,1,0,0,6.74
2051,0,p8x8,2,0.296249058842245,1,10,0,-10,29.32159763936856,-4:4,spatial,0,204,2,dia,4,1,1,vbr,0,high,0.3314707658397848,22,10,170,4,76,8,3,1,1,1,9.15
2051,0,p8x8,2,0.296249058842245,1,10,0,-10,29.32159763936856,-4:4,spatial,0,204,2,dia,4,1,1,vbr,0,high,0.3314707658397848,22,10,170,4,25,8,3,1,1,1,9.15
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,2,10.2
721,1,none,2,1.8245416022471044,0,9,0,-5,40.323908075426026,-2:2,spatial,1,450,4,dia,29,0,0,none,1,high,0.6643949625490938,36,16,126,4,54,2,60,1,1,2,10.57
2183,0,p8x8,0,1.8702013244695497,1,1,1,-11,33.32100873361114,2:2,spatial,0,297,3,tesa,30,1,1,cbr,0,baseline,0.20369733279575,51,10,129,1,0,0,8,0,0,0,11.42
76,0,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
2214,1,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,11,80,0,38,0,0,0,12.11
2002,1,p4x4,3,0.4771290174931774,1,4,1,2,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,52,0,2,2,0,0,12.11
76,0,p8x8,1,0.6295137611273145,2,0,1,-4,29.58495568862226,4:4,spatial,0,2,0,dia,54,0,1,none,0,baseline,0.6493532546000097,35,6,92,2,9,3,2,0,0,0,12.11
76,0,p8x8,1,0.6295137611273145,2,0,0,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,2,1,0,12.11
76,0,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,64,1,0,2,12.11
2214,1,p4x4,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,25,1,1,none,1,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
819,1,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,383,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,11,80,0,38,0,0,0,12.11
76,0,p8x8,1,0.6295137611273145,2,0,0,9,29.58495568862226,4:-4,spatial,0,51,0,esa,54,0,1,none,0,baseline,0.6493532546000097,26,4,92,2,80,3,2,0,0,0,12.11
76,0,p8x8,1,0.6295137611273145,2,0,1,-4,29.58495568862226,-5:5,spatial,0,2,0,dia,54,0,1,none,0,baseline,0.2016113936481918,35,6,92,2,4,0,2,2,1,0,12.11
76,0,p8x8,1,0.6295137611273145,2,1,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6185409904408643,48,4,92,2,80,0,64,1,1,1,12.11
76,0,p8x8,1,0.6295137611273145,0,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,4,80,0,64,2,1,0,12.11
76,0,none,1,0.6295137611273145,2,0,0,9,29.58495568862226,4:4,spatial,0,216,4,dia,54,0,1,none,0,baseline,0.2892118132152554,48,4,92,2,80,0,29,1,0,2,12.11
2002,0,"p8x8,b8x8,i8x8,i4x4",3,0.4771290174931774,1,4,1,2,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,52,0,2,2,0,0,12.11
