id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1261,0,p4x4,3,0.6157864219350295,1,12,0,8,3.591106108840383,2:-2,spatial,1,435,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,6.3
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,56,2,0,0,8.4
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,2,10.2
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,cbr,1,baseline,0.5593287975502225,25,3,141,7,40,5,9,2,1,2,10.2
76,0,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
1927,1,all,0,0.6295137611273145,2,0,1,-9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
2233,0,none,1,1.3653973567571176,0,9,0,7,41.62378391495786,4:4,spatial,0,480,0,umh,45,0,0,none,0,baseline,0.8577477619777601,22,13,242,7,67,0,42,0,1,1,12.39
1660,0,none,1,1.3653973567571176,0,9,0,7,41.62378391495786,4:4,spatial,0,480,0,umh,45,0,0,none,0,baseline,0.8577477619777601,20,13,242,7,67,0,42,0,1,1,12.39
2233,1,none,1,1.3653973567571176,1,9,0,7,41.62378391495786,4:4,spatial,0,480,3,umh,45,0,0,none,1,main,0.8269996269576863,22,13,242,12,100,4,3,2,0,2,12.39
657,0,p8x8,0,1.2075906370613234,2,14,1,3,44.90713584926058,0:0,auto,1,401,1,tesa,25,0,1,vbr,0,high,0.5235266441827571,43,18,183,9,3,1,63,1,1,2,12.55
1128,0,p4x4,0,0.8422819182175576,0,6,1,-7,37.83845219547387,5:5,temporal,1,251,4,hex,15,1,1,none,0,main,0.7449853403356067,45,13,157,2,1,8,45,1,0,0,13.11
1128,0,p4x4,0,0.8422819182175576,0,6,0,-7,37.83845219547387,5:5,temporal,1,251,4,hex,15,0,1,none,0,main,0.72714339918436,48,17,74,13,0,2,32,1,0,0,13.11
2002,1,p4x4,3,0.4771290174931774,1,4,1,2,9.321228297970876,3:-3,none,0,77,3,tesa,16,1,1,none,1,high,0.6643949625490938,36,16,126,4,54,1,60,1,1,2,13.57
777,1,none,3,1.0429460670983646,1,14,1,-4,23.780344080144086,-1:1,spatial,0,77,3,tesa,16,1,1,none,1,main,0.6643949625490938,36,16,126,4,54,1,60,1,1,2,13.57
14,1,p4x4,3,0.4771290174931774,1,4,1,2,9.321228297970876,3:-3,none,0,150,3,tesa,16,1,1,cbr,1,main,0.5161572658526147,37,15,242,7,91,10,11,1,1,0,13.57
841,0,all,2,1.9764779946136457,0,2,1,5,30.67779724178076,2:-2,spatial,0,371,1,hex,33,0,0,none,0,main,0.965548204926018,37,17,101,14,99,6,42,2,1,0,14.02
1689,1,all,1,0.0520260669292369,0,0,0,11,17.913017377509092,6:-6,none,1,458,2,hex,10,1,1,vbr,1,baseline,0.9859873526355616,22,14,240,2,81,11,24,2,0,2,15.35
721,0,all,2,1.8245416022471044,0,9,1,-5,40.323908075426026,-2:2,spatial,1,450,4,dia,29,0,0,none,1,baseline,0.0784792835710588,21,8,46,7,55,10,42,0,1,1,15.46
721,1,none,2,1.8245416022471044,0,9,0,-5,40.323908075426026,-2:2,spatial,1,450,4,dia,29,0,0,none,1,baseline,0.0784792835710588,21,8,46,12,100,4,3,2,0,2,15.82
344,0,p8x8,3,0.7769498651393252,2,8,1,8,49.654252470083385,5:5,temporal,0,100,3,tesa,45,0,0,vbr,0,baseline,0.2115404214338969,20,7,107,12,24,7,56,2,0,0,18.46
