id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1178,0,all,3,0.9065584540988204,2,4,1,-10,11.649183250274437,0:0,auto,0,410,4,umh,11,0,0,cbr,1,baseline,0.5123914458022217,39,0,10,4,37,6,30,0,1,2,3.22
1178,0,all,3,0.9065584540988204,2,3,1,-10,11.649183250274437,0:0,auto,1,410,0,umh,11,0,1,none,1,baseline,0.5123914458022217,39,0,192,2,19,6,40,1,0,1,3.22
1178,0,all,1,0.9065584540988204,2,3,0,-11,11.649183250274437,0:0,temporal,0,410,4,umh,11,0,0,cbr,1,main,0.965829524139684,22,0,10,4,37,0,30,0,1,2,3.22
1178,0,all,1,0.9065584540988204,2,3,0,-11,11.649183250274437,0:0,temporal,1,410,4,umh,11,0,1,none,1,baseline,0.5123914458022217,39,0,192,2,19,6,40,1,1,1,3.22
1178,0,all,3,0.9065584540988204,2,3,1,-3,11.649183250274437,0:0,auto,0,410,4,umh,11,0,1,cbr,1,baseline,0.5123914458022217,39,0,10,4,37,0,59,0,1,2,3.22
1178,0,all,3,0.8875295029693533,2,3,1,-11,11.649183250274437,0:0,auto,0,410,4,umh,11,1,1,cbr,1,baseline,0.9148497995135092,46,1,88,14,43,4,38,0,0,0,3.22
1178,0,all,3,0.9065584540988204,2,3,0,-11,11.649183250274437,0:0,auto,1,410,4,umh,11,0,0,cbr,1,baseline,0.5123914458022217,39,0,10,4,37,0,30,0,1,0,3.22
1178,0,all,3,0.9065584540988204,2,3,1,-10,11.649183250274437,0:0,auto,0,410,4,umh,11,0,0,cbr,1,baseline,0.5123914458022217,39,0,10,4,37,0,30,0,1,2,3.22
1178,0,all,3,0.9065584540988204,2,3,1,-10,11.649183250274437,0:0,auto,0,410,4,umh,11,1,0,cbr,1,high,0.5123914458022217,39,0,10,4,37,0,30,0,1,2,3.22
1178,0,all,3,0.9065584540988204,2,3,0,-11,11.649183250274437,0:0,auto,0,410,4,umh,11,0,0,cbr,1,baseline,0.5123914458022217,39,14,29,2,19,6,40,1,0,1,3.22
378,1,all,1,0.9844437172708528,0,11,0,8,18.518682570557125,5:-5,spatial,0,440,1,hex,33,0,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,33,2,1,1,4.06
378,1,p4x4,0,0.9844437172708528,2,11,0,-7,18.518682570557125,5:-5,spatial,0,440,1,hex,33,1,1,none,0,high,0.128052689104238,44,4,155,2,80,11,11,2,0,0,4.06
378,1,p4x4,1,0.9844437172708528,0,11,0,0,18.518682570557125,5:-5,spatial,0,440,4,hex,33,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,0,1,1,4.06
2120,1,p4x4,1,0.9844437172708528,2,5,0,0,18.518682570557125,5:-5,spatial,0,151,4,dia,53,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,2,0,1,4.06
378,1,p8x8,1,0.9844437172708528,1,9,1,-12,18.518682570557125,5:-5,spatial,0,440,4,hex,41,0,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,0,1,1,4.06
2295,1,all,3,1.8245416022471044,0,9,1,-12,18.518682570557125,5:-5,spatial,0,440,4,hex,41,0,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,0,1,1,4.06
2120,1,p4x4,1,0.9844437172708528,2,11,0,0,18.518682570557125,5:-5,spatial,0,151,4,dia,33,1,1,none,0,high,0.6407411631595799,44,4,155,2,80,11,11,2,0,0,4.06
76,0,p8x8,3,1.997601325586333,1,12,0,8,38.687654164818326,5:-5,spatial,0,440,4,hex,33,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,2,21,0,1,0,4.06
378,1,p4x4,1,0.9844437172708528,2,11,0,8,18.518682570557125,5:-5,spatial,0,440,1,hex,33,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,2,0,1,4.06
378,1,all,1,0.9844437172708528,1,9,1,-12,18.518682570557125,5:-5,spatial,1,440,4,hex,41,0,1,none,1,high,0.6407411631595799,44,3,22,14,95,1,1,0,1,1,4.06
76,0,p8x8,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,129,3,dia,15,0,0,cbr,0,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,1,676.6144613835938
76,0,p8x8,1,1.1644302425737592,2,14,1,-3,38.687654164818326,2:-2,spatial,1,129,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,1,676.6158225068066
721,1,none,2,0.2647069182947271,1,9,0,-5,40.323908075426026,-2:2,spatial,0,450,4,dia,29,0,0,none,1,baseline,0.0784792835710588,21,8,141,7,40,5,63,2,1,2,676.6133761358985
