auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,1,0,0,0,0,0,0,0,0,0,0,7.88
1,1,1,1,1,0,1,1,0,1,1,0,7.92
1,0,0,1,0,0,0,0,0,0,0,0,9.99
1,0,1,0,1,0,1,0,0,0,1,0,10.01
1,0,0,1,0,0,1,0,0,0,1,0,10.02
1,0,0,1,0,0,0,0,0,0,1,0,10.02
1,0,0,1,1,1,1,1,0,1,1,0,12.98
1,1,1,1,0,0,1,1,1,1,1,0,14.6
0,0,0,0,0,0,0,0,0,1,1,0,18.8
1,0,0,0,0,0,1,1,1,1,0,0,18.81
0,1,0,0,0,0,0,0,0,1,1,0,19.6
0,0,0,0,0,0,0,0,1,1,0,1,33.19
0,1,0,0,0,0,0,0,1,0,0,0,35.98
0,1,0,0,1,0,0,1,1,0,1,0,36.01
1,1,1,1,1,1,0,1,1,0,1,1,36.16
1,1,1,1,1,1,1,1,1,0,0,0,36.36
1,1,1,1,1,1,1,1,1,1,1,1,36.81
1,1,1,1,1,1,1,1,0,1,0,0,37.82
0,1,0,1,0,1,0,1,0,1,0,1,54.43
0,1,1,1,1,1,1,1,0,1,1,0,54.51
